Rank,TOP500 Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Power (kW),Power Source,Power Efficiency [GFlops/Watts],Power Source,Power Quality Level,Optimized Run (HPL),Optimized Run (Peak Power),Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
52,38,JOLIOT-CURIE ROME,"Bull Sequana XH2000 , AMD Rome 7H12 64C 2.6GHz, Mellanox HDR100",CEA/TGCC-GENCI,Atos,France,2019,Research,"197,120",,"6,988.04","12,039.37","1,436.00",Submitted,4.87,,1,,,Cluster,AMD Rome 7H12 64C 2.6GHz,AMD Zen-2 (Rome),"2,600",bullx SCS,Linux,None,64,AMD Rome,BullSequana XH2000,BullSequana,Infiniband,Mellanox InfiniBand HDR100,Europe,"50,414",179700
53,104,Alps,"HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-10",Swiss National Supercomputing Centre (CSCS),HPE,Switzerland,2020,Research,"128,000",,"3,088.60","4,608.00",637.95,Submitted,4.84,,3,,,MPP,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",Cray OS,Linux,None,64,AMD Rome,HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-10,Europe,"50,422",179900
54,34,Belenos,"Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox HDR100",Meteo France,Atos,France,2020,Research,"294,912",,"7,683.36","10,469.38","1,655.00",Submitted,4.64,,1,,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",bullx SCS,Linux,None,64,AMD Rome,BullSequana XH2000,BullSequana,Infiniband,Mellanox InfiniBand HDR100,Europe,"48,356",179853
55,100,Lichtenberg II (Phase 1),"MEGWARE MiriQuid, Intel Xeon Platinum 9242 48C 2.3GHz, Mellanox InfiniBand HDR100",Technische Universitaet Darmstadt,MEGWARE,Germany,2020,Academic,"59,136",,"3,148.38","4,352.41",690.00,Submitted,4.56,,2,,,Cluster,Intel Xeon Platinum 9242 48C 2.3GHz,Intel Cascade lake,"2,300",CentOS,Linux,None,48,Xeon Platinum 92xx (Cascade Lake),MEGWARE MiriQuid,MEGWARE Cluster,Infiniband,Mellanox InfiniBand HDR100,Europe,"49,078",179857
56,44,JUWELS Module 1,"Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR InfiniBand/ParTec ParaStation ClusterSuite",Forschungszentrum Juelich (FZJ),Atos,Germany,2018,Research,"114,480",,"6,177.73","9,891.07","1,361.00",Submitted,4.54,,2,,,Cluster,Xeon Platinum 8168 24C 2.7GHz,Intel Skylake,"2,700",CentOS,Linux,None,24,Xeon Platinum,BullSequana X1000,BullSequana,Infiniband,Mellanox EDR InfiniBand/ParTec ParaStation ClusterSuite,Europe,"47,871",179424
57,69,SNL/NNSA CTS-1 Manzano,"Tundra Extreme Scale, Xeon Platinum 8268 24C 2.9GHz, Intel Omni-Path",Sandia National Laboratories,Penguin Computing,United States,2020,Research,"71,424",,"4,281.00","6,628.15",960.00,Submitted,4.46,,2,,,Cluster,Xeon Platinum 8268 24C 2.9GHz,Intel Cascade lake,"2,900",Linux/TOSS,Linux,None,24,Xeon Platinum 82xx (Cascade Lake),Tundra Extreme Scale,Penguin Computing Cluster,Omnipath,Intel Omni-Path,North America,"48,748",179907
58,105,Numerical Materials Simulator,"HPE SGI 8600, Xeon Platinum 8268 24C 2.9GHz, Dual-rail Intel Omni-Path",National Institute for Materials Science,HPE,Japan,2020,Research,"53,568",,"3,082.12","4,971.11",691.20,Submitted,4.46,,1,,,Cluster,Xeon Platinum 8268 24C 2.9GHz,Intel Cascade lake,"2,900",CentOS,Linux,None,24,Xeon Platinum 82xx (Cascade Lake),HPE SGI 8600,HPE SGI 8600,Omnipath,Dual-rail Intel Omni-Path,Asia,"49,749",179847
59,72,JOLIOT-CURIE SKL,"Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR",CEA/TGCC-GENCI,Atos,France,2017,Research,"79,488",,"4,065.55","6,635.52",917.00,Submitted,4.43,,,,,Cluster,Xeon Platinum 8168 24C 2.7GHz,Intel Skylake,"2,700",bullx SCS,Linux,None,24,Xeon Platinum,BullSequana X1000,BullSequana,Infiniband,Mellanox InfiniBand EDR,Europe,"50,414",179411
60,191,Cumulus,"PowerEdge C6420/C6320, Intel Xeon Phi 7210/Xeon Gold 6142F 16C 2.6GHz, Intel Omni-Path",University of Cambridge,Dell EMC,United Kingdom,2018,Academic,"50,176",,"2,271.38","2,688.00",530.00,Submitted,4.29,,,,,Cluster,Xeon Gold 6142F 16C 2.6GHz,Intel Skylake,"2,600",Scientific Linux,Linux,None,16,Xeon Gold,PowerEdge C6420/C6320,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,Europe,"49,143",179577
61,85,Eagle II,"CH121L V5 Liquid-Cooled, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR",PCSS Poznan,Huawei,Poland,2020,Academic,"63,360",,"3,533.61","5,879.81",829.00,Submitted,4.26,,1,,,Cluster,Xeon Platinum 8268 24C 2.9GHz,Intel Cascade lake,"2,900",CentOS,Linux,None,24,Xeon Platinum 82xx (Cascade Lake),CH121L V5 Liquid-Cooled,Huawei Cluster,Infiniband,Infiniband EDR,Europe,"50,183",179903
62,55,Lise,"Bull intel Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Intel Omni-Path",HLRN at ZIB/Konrad Zuse-Zentrum Berlin,Atos,Germany,2019,Academic,"103,680",,"5,355.94","7,630.85","1,258.00",Submitted,4.26,,2,,,Cluster,Intel Xeon Platinum 9242 48C 2.3GHz,Intel Cascade lake,"2,300",CentOS,Linux,None,48,Xeon Platinum 92xx (Cascade Lake),Bull intel Cluster,Bull Cluster,Omnipath,Intel Omni-Path,Europe,"49,361",179702
63,50,,"Cray XC50, Xeon Platinum 8160  24C 2.1GHz, Aries interconnect ",Japan Meteorological Agency,Cray Inc./Hitachi,Japan,2018,Research,"135,792",,"5,730.50","9,125.22","1,353.95",Submitted,4.23,,,,,MPP,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,"2,100",Cray Linux Environment ,Linux,None,24,Xeon Platinum,Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Asia,"48,169",179415
64,49,,"Cray XC50, Xeon Platinum 8160  24C 2.1GHz, Aries interconnect ",Japan Meteorological Agency,Cray Inc./Hitachi,Japan,2018,Research,"135,792",,"5,730.50","9,125.22","1,353.95",Submitted,4.23,,,,,MPP,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,"2,100",Cray Linux Environment ,Linux,None,24,Xeon Platinum,Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Asia,"48,169",179414
65,214,ATERUI II ,"Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect ",National Astronomical Observatory of Japan,Cray/HPE,Japan,2018,Academic,"40,000",,"2,089.98","3,072.00",495.86,Submitted,4.21,,,,,MPP,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",Cray Linux Environment ,Linux,None,20,Xeon Gold,Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Asia,"50,097",179419
66,168,Aitken,"HPE SGI 8600, Xeon Gold 6248 20C 2.5GHz, Infiniband EDR/HDR",NASA/Ames Research Center/NAS,HPE,United States,2019,Research,"46,080",,"2,375.54","3,686.40",578.10,Submitted,4.11,,1,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,"2,500",SLES12,Linux,None,20,Xeon Gold 62xx (Cascade Lake),HPE SGI 8600,HPE SGI 8600,Infiniband,Infiniband EDR/HDR ,North America,"50,440",179802
67,107,Camphor 2,"Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ","Academic Center for Computing and Media Studies (ACCMS),  Kyoto University",Cray/HPE,Japan,2016,Academic,"122,400",,"3,057.35","5,483.52",748.10,Submitted,4.09,,,,,MPP,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,"1,400",Cray Linux Environment ,Linux,None,68,Intel Xeon Phi,Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Asia,"50,516",178927
68,215,Greene,"ThinkSystem SR650, Xeon Platinum 8268 24C 2.9GHz, NVIDIA Quadro RTX8000/V100, Infiniband HDR",New York University,Lenovo,United States,2020,Academic,"166,304","63,104","2,088.83","2,846.40",511.54,Optimized,4.08,Optimized,2,"2,088.83",511.54,Cluster,Xeon Platinum 8268 24C 2.9GHz,Intel Cascade lake,"2,900",Linux,Linux,NVIDIA Tesla V100,24,Xeon Platinum 82xx (Cascade Lake),ThinkSystem SR650,Lenovo ThinkSystem,Infiniband,Infiniband HDR,North America,"49,783",179851
69,181,Taiwania 3,"QCT QuantaPlex T42D-2U/4N, Xeon Platinum 8280 28C 2.7GHz, InfiniBand HDR 100",National Center for High Performance Computing,Quanta Computer / Taiwan Fixed Network / ASUS Cloud,Taiwan,2020,Research,"50,400",,"2,297.56","4,354.56",563.85,Submitted,4.07,,1,,,Cluster,Xeon Platinum 8280 28C 2.7GHz,Intel Cascade lake,"2,700",CentOS,Linux,None,28,Xeon Platinum 82xx (Cascade Lake),QCT QuantaPlex T42D-2U/4N,QCT QuantaPlex,Infiniband,InfiniBand HDR 100,Asia,"48,468",179902
70,48,Sawtooth,"HPE SGI 8600, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR/HDR ",Idaho National Laboratory,HPE,United States,2019,Research,"99,792",,"5,780.62","9,220.61","1,432.00",Submitted,4.04,,1,,,Cluster,Xeon Platinum 8268 24C 2.9GHz,Intel Cascade lake,"2,900",RHEL 7.6,Linux,None,24,Xeon Platinum 82xx (Cascade Lake),HPE SGI 8600,HPE SGI 8600,Infiniband,Infiniband EDR/HDR ,North America,"47,650",179708
71,478,GSACC,"Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 100Gb 6D-Torus",GanSu Advanced Computing Center,Sugon,China,2018,Government,"28,000",,"1,405.00","2,329.60",350.00,Submitted,4.01,,,,,Cluster,Xeon Gold 6132 14C 2.6GHz,Intel Skylake,"2,600",CentOS,Linux,None,14,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,100Gb 6D-Torus,Asia,"50,780",179529
72,119,JFRS-1,"Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect ","Rokkasho Fusion Institute, National Institutes for Quantum and Radiological Science and Technology",Cray/HPE,Japan,2018,Research,"54,560",,"2,787.14","4,190.21",697.51,Submitted,4.00,,,,,MPP,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",Cray Linux Environment ,Linux,None,20,Xeon Gold,Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Asia,"50,767",179417
73,497,Taiwania,"PRIMERGY CX2550 M4/CX2560 M4/CX2570 M4, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path",National Center for High Performance Computing,Fujitsu,Taiwan,2017,Research,"27,200",,"1,325.15","2,088.96",332.00,Submitted,3.99,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",Linux,Linux,None,20,Xeon Gold,PRIMERGY CX2550 M4/CX2560 M4/CX2570 M4,Fujitsu PRIMERGY,Omnipath,Intel Omni-Path,Asia,"48,468",179170
74,42,MareNostrum,"Lenovo SD530, Xeon Platinum 8160 24C 2.1GHz, Intel Omni-Path",Barcelona Supercomputing Center,Lenovo,Spain,2017,Academic,"153,216",,"6,470.80","10,296.12","1,632.00",Submitted,3.96,,,,,Cluster,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,"2,100",SUSE Linux,Linux,None,24,Xeon Platinum,ThinkSystem SD530,Lenovo ThinkSystem,Omnipath,Intel Omni-Path,Europe,"49,748",179067
75,82,Niagara,"ThinkSystem SD530, Xeon Gold 6248 20C 2.5GHz, InfiniBand HDR100",SciNet/University of Toronto/Compute Canada,Lenovo,Canada,2017,Research,"80,640",,"3,599.66","6,253.06",919.42,Submitted,3.92,,1,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",CentOS,Linux,None,20,Xeon Gold,ThinkSystem SD530,Lenovo ThinkSystem,Infiniband,4xEDR Infiniband,North America,"50,206",179408
76,280,,"Sugon TC6000, Xeon Gold 6148 20C 2.4GHz, 25G Ethernet",DJIT Company,Sugon,China,2019,Industry,"48,000",,"1,833.00","3,686.40",470.00,Submitted,3.90,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",CentOS,Linux,None,20,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,787",179733
77,241,,"Sugon TC6000, Xeon Gold 6148 20C 2.4GHz, Infiniband EDR",Chengdu SC Center,Sugon,China,2019,Industry,"520,000",,"1,985.00","39,936.00",510.00,Submitted,3.89,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",CentOS,Linux,None,20,Xeon Gold,Sugon TC6000,Sugon Cluster,Infiniband,Infiniband EDR,Asia,"50,815",179732
78,243,Gaïa,"Bull intel Cluster, Xeon Gold 6140 18C 2.3GHz, Intel Omni-Path",EDF,Atos,France,2018,Industry,"41,472",,"1,980.53","3,052.34",512.00,Submitted,3.87,,1,,,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,"2,300",Calibre OS,Linux,None,18,Xeon Gold,Bull intel Cluster,Bull Cluster,Omnipath,Intel Omni-Path,Europe,"50,679",179569
79,177,Makman-3,"PowerEdge R440/C6320p, Intel Xeon Phi 7250/Xeon Gold 6130 16C 2.1GHz, Intel Omni-Path",Saudi Aramco,Dell EMC,Saudi Arabia,2018,Industry,"53,300",,"2,322.46","3,581.76",608.00,Submitted,3.82,,,,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,"2,100",RHEL 7.4,Linux,None,16,Xeon Gold,PowerEdge R440,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,Asia,"48,751",179437
80,24,Tera-1000-2,"Bull Sequana X1000, Intel Xeon Phi 7250 68C 1.4GHz, Bull BXI 1.2",Commissariat a l'Energie Atomique (CEA),Atos,France,2017,Research,"561,408",,"11,965.50","23,396.35","3,178.00",Submitted,3.77,,2,,,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,"1,400",bullx SCS,Linux,None,68,Intel Xeon Phi,BullSequana X1000,BullSequana,Custom Interconnect,Bull BXI 1.2,Europe,"47,593",179412
81,496,,"HPE SGI 8600, Xeon Gold 6148 20C 2.4GHz, 4xEDR Infiniband",Central Research Institute of Electric Power Industry/CRIEPI,HPE,Japan,2018,Research,"26,400",,"1,326.25","2,027.52",357.55,Submitted,3.71,,1,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",Red Hat Enterprise Linux,Linux,None,20,Xeon Gold,HPE SGI 8600,HPE SGI 8600,Infiniband,4xEDR Infiniband,Asia,"47,530",179563
82,259,CTcluster,"Sugon TC6000, Xeon Gold 6140 18C 2.3GHz, 10G Ethernet",Telecom Company,Sugon,China,2018,Industry,"54,000",,"1,928.00","3,974.40",520.00,Submitted,3.71,,,,,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,"2,300",CentOS,Linux,None,18,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,591",179535
83,94,LLNL/NNSA CTS-1 MAGMA,"Relion Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Intel Omni-Path",Lawrence Livermore National Laboratory,Penguin Computing,United States,2019,Research,"62,400",,"3,241.24","4,592.64",887.00,Submitted,3.65,,,,,Cluster,Intel Xeon Platinum 9242 48C 2.3GHz,Intel Cascade lake,"2,300",Linux/TOSS,Linux,None,48,Xeon Platinum 92xx (Cascade Lake),Relion Cluster,Penguin Computing Cluster,Omnipath,Intel Omni-Path,North America,"48,247",179774
84,125,SNL/NNSA CTS-1 Attaway,"Tundra Extreme Scale, Xeon Gold 6140 18C 2.3GHz, Intel Omni-Path",Sandia National Laboratories,Penguin Computing,United States,2019,Research,"52,920",,"2,724.52","3,894.91",750.00,Submitted,3.63,,2,,,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,"2,300",Linux/TOSS,Linux,None,18,Xeon Gold,Tundra Extreme Scale,Penguin Computing Cluster,Omnipath,Intel Omni-Path,North America,"48,748",179777
85,57,TX-GAIA (Green AI Accelerator),"Apollo 2000, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100, Intel Omni-Path",MIT Lincoln Laboratory Supercomputing Center,HPE,United States,2019,Academic,"88,400","70,720","5,161.00","6,981.48","1,436.00",Submitted,3.59,,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,"2,500",CentOS Linux 7,Linux,NVIDIA Tesla V100,20,Xeon Gold 62xx (Cascade Lake),Apollo 2000,HP Apollo,Omnipath,Intel Omni-Path,North America,"48,296",179603
86,152,CLAIX (2018),"INTEL-HNS2600BPB, Xeon Platinum 8160  24C 2.1GHz, Intel Omni-Path",Universitaet Aachen/RWTH - IT Center,NEC,Germany,2018,Academic,"61,200",,"2,483.58","4,112.64",692.05,Submitted,3.59,,1,,,Cluster,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,"2,100",CentOS,Linux,None,24,Xeon Platinum,INTEL-HNS2600BPB,NEC Cluster,Omnipath,Intel Omni-Path,Europe,"50,675",179682
87,147,PAI-BSystem,"Sugon TC4600LP/W740I, Xeon Gold 6142 16C 2.6GHz, Infiniband EDR, NVIDIA Tesla P100",China Meteorological Administration,Sugon,China,2018,Research,"50,816","2,688","2,547.00","4,229.85",710.00,Submitted,3.59,,,,,Cluster,Xeon Gold 6142 16C 2.6GHz,Intel Skylake,"2,600",RHEL 7.3,Linux,NVIDIA Tesla P100,16,Xeon Gold,Sugon TC4600LP,Sugon Cluster,Infiniband,Infiniband EDR,Asia,"47,551",179440
88,20,Cori,"Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ",DOE/SC/LBNL/NERSC,Cray/HPE,United States,2016,Research,"622,336",,"14,014.70","27,880.65","3,939.00",Submitted,3.56,,,,,MPP,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,"1,400",Cray Linux Environment ,Linux,None,68,Intel Xeon Phi,Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,"48,429",178924
89,67,CRONOS,"BullSequana X, Xeon Platinum 8260 24C 2.4GHz, Infiniband HDR",EDF,Atos,France,2020,Industry,"81,600",,"4,299.33","7,136.87","1,225.53",Submitted,3.51,,1,,,Cluster,Xeon Platinum 8260 24C 2.4GHz,Intel Cascade lake,"2,400",Linux,Linux,None,24,Xeon Platinum 82xx (Cascade Lake),BullSequana X,BullSequana,Infiniband,Infiniband HDR,Europe,"50,679",179899
90,284,scafellpike,"Bull Sequana X1000, Intel Xeon Phi 7210 64C 1.3GHz/Xeon Gold 6142, Mellanox EDR",Science and Technology Facilities Council,Atos,United Kingdom,2017,Research,"80,640",,"1,829.86","4,329.73",529.00,Submitted,3.46,,2,,,Cluster,Intel Xeon Phi 7210 64C 1.3GHz,Intel Xeon Phi,"1,300",bullx SCS,Linux,None,64,Intel Xeon Phi,BullSequana X1000,BullSequana,Infiniband,Infiniband EDR,Europe,"50,732",179163
91,229,,"Sugon TC6000, Xeon Gold 6140 18C 2.3GHz, 10G Ethernet",Telecom Company,Sugon,China,2019,Industry,"55,440",,"2,026.00","4,080.38",590.00,Submitted,3.43,,,,,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,"2,300",CentOS,Linux,None,18,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,591",179785
92,51,COBRA,"Intel Compute Module HNS2600BP, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path",Max-Planck-Gesellschaft MPI/IPP,Intel,Germany,2018,Research,"127,520",,"5,612.83","9,793.54","1,635.00",Submitted,3.43,,1,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",SUSE Linux Enterprise Server 12 SP1,Linux,None,20,Xeon Gold,Intel Compute Module HNS2600BP,Intel Cluster,Omnipath,Intel Omni-Path,Europe,"48,331",179423
93,255,,"Sugon TC6000, Xeon Gold 6140 18C 2.3GHz, 10G Ethernet",State Grid Corp,Sugon,China,2019,Industry,"53,280",,"1,952.00","3,921.41",570.00,Submitted,3.42,,,,,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,"2,300",CentOS,Linux,None,18,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,610",179786
94,6,Tianhe-2A,"TH-IVB-FEP Cluster, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Matrix-2000",National Super Computer Center in Guangzhou,NUDT,China,2018,Research,"4,981,760","4,554,752","61,444.50","100,678.66","18,482.00",Submitted,3.32,,1,,,Cluster,Intel Xeon E5-2692v2 12C 2.2GHz,Intel IvyBridge,"2,200",Kylin Linux,Linux,Matrix-2000,12,Intel Xeon E5 (IvyBridge),TH-IVB-FEP Cluster,TH-IVB Cluster,Custom Interconnect,TH Express-2,Asia,"50,365",177999
95,138,Cedar (CPU),"PowerEdge C6420, Xeon Platinum 8160  24C 2.1GHz, Intel Omni-Path",Simon Fraser University/Compute Canada,ACTION,Canada,2020,Academic,"67,584",,"2,607.98","4,895.54",792.00,Submitted,3.29,,1,,,Cluster,Xeon Platinum 8260 24C 2.4GHz,Intel Cascade lake,"2,400",CentOS,Linux,None,24,Xeon Platinum 82xx (Cascade Lake),PowerEdge C6420,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,North America,"50,722",179858
96,159,PAI-ASystem,"Sugon TC4600, Xeon Gold 6142 16C 2.6GHz, Infiniband EDR",China Meteorological Administration,Sugon,China,2017,Research,"48,128",,"2,435.00","4,004.25",740.00,Submitted,3.29,,,,,Cluster,Xeon Gold 6142 16C 2.6GHz,Intel Skylake,"2,600",Linux,Linux,None,16,Xeon Gold,Sugon TC4600,Sugon Cluster,Infiniband,Infiniband EDR,Asia,"47,551",179425
97,298,Molecular Simulator,"NEC LX Cluster, Xeon Gold 6148/6154, Intel Omni-Path",Institute for Molecular Science,NEC,Japan,2017,Research,"38,552",,"1,785.62","3,072.77",544.48,Submitted,3.28,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",CentOS,Linux,None,20,Xeon Gold,NEC LX Cluster,NEC Cluster,Omnipath,Intel Omni-Path,Asia,"48,473",179173
98,53,Electra,"HPE SGI 8600/SGI ICE-X, E5-2680V4/ Xeon Gold 6148 20C 2.4GHz, Infiniband EDR/FDR-56 IB",NASA/Ames Research Center/NAS,HPE,United States,2018,Research,"124,416",,"5,444.64","8,316.52","1,685.73",Submitted,3.23,,1,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",SLES12 SP2,Linux,None,20,Xeon Gold,HPE SGI 8600,HPE SGI 8600,Infiniband,Infiniband EDR,North America,"48,408",179589
99,323,Internet Service D,"Huawei 1288H V5, Xeon Platinum 8160  24C 2.1GHz, Infiniband EDR",Internet Service J,Huawei,China,2019,Others,"48,960",,"1,671.37","3,290.11",524.28,Submitted,3.19,,,,,Cluster,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,"2,100",Linux,Linux,None,24,Xeon Platinum,Huawei 1288H V5,Huawei Cluster,Infiniband,Infiniband EDR,Asia,"50,776",179726
100,256,,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",IT Service Provider,Sugon,China,2019,Industry,"58,112",,"1,934.00","3,905.13",630.00,Submitted,3.07,,,,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,"2,100",CentOS,Linux,None,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,741",179736
101,278,bsystem,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",Internet Company,Sugon,China,2019,Industry,"55,040",,"1,838.00","3,698.69",600.00,Submitted,3.06,,,,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,"2,100",CentOS,Linux,None,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,743",179670
102,287,,"Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 10G Ethernet",IT Service Provider,Sugon,China,2019,Industry,"44,100",,"1,824.00","3,669.12",600.00,Submitted,3.04,,,,,Cluster,Xeon Gold 6132 14C 2.6GHz,Intel Skylake,"2,600",CentOS,Linux,None,14,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,709",179735
103,267,,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",Internet Company,Sugon,China,2019,Industry,"56,800",,"1,896.00","3,816.96",625.00,Submitted,3.03,,,,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,"2,100",CentOS,Linux,None,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,761",179737
104,290,,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",Government Agency (S),Sugon,China,2019,Government,"54,240",,"1,815.00","3,644.93",600.00,Submitted,3.03,,,,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,"2,100",CentOS,Linux,None,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,824",179787
105,265,,"Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 25G Ethernet",DJIT Company,Sugon,China,2019,Industry,"46,200",,"1,901.00","3,843.84",630.00,Submitted,3.02,,,,,Cluster,Xeon Gold 6132 14C 2.6GHz,Intel Skylake,"2,600",CentOS,Linux,None,14,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,787",179734
106,254,,"Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 25G Ethernet",Telecom Company,Sugon,China,2019,Industry,"47,600",,"1,955.00","3,960.32",650.00,Submitted,3.01,,,,,Cluster,Xeon Gold 6132 14C 2.6GHz,Intel Skylake,"2,600",CentOS,Linux,None,14,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,591",179784
107,435,,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",Internet Company,Sugon,China,2019,Industry,"48,000",,"1,590.00","3,225.60",530.00,Submitted,3.00,,,,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,"2,100",CentOS,Linux,None,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,743",179669
108,251,Mogon II,"NEC Cluster, Xeon Gold 6130 16C 2.1GHz, MEGWARE MiriQuid Xeon E5-2630v4, Intel Omni-Path",Universitaet Mainz,NEC/MEGWARE,Germany,2017,Academic,"49,432",,"1,967.81","2,800.87",657.00,Submitted,3.00,,2,,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,"2,100",CentOS,Linux,None,16,Xeon Gold,NEC Cluster,NEC Cluster,Omnipath,Intel Omni-Path,Europe,"49,102",178930
